MIR770	MIRN770|hsa-mir-770	microRNA 770
SLC7A1	ERR|HCAT1|CAT-1|ATRC1|REC1L	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1|amino acid transporter, cationic 1|ecotropic retroviral receptor
IFNAR2	IFNABR	interferon (alpha, beta and omega) receptor 2
APC2	APCL	adenomatosis polyposis coli 2|adenomatous polyposis coli like
RFX8	FLJ42986	RFX family member 8, lacking RFX DNA binding domain
CCDC26	RAM|MGC27434	CCDC26 long non-coding RNA|retinoic acid modulator|coiled-coil domain containing 26
RBMX2P1		RNA binding motif protein, X-linked 2 pseudogene 1
RNA5SP36	RN5S36	RNA, 5S ribosomal pseudogene 36
SPRR2E		small proline-rich protein 2E
ALPK2	HAK	alpha-kinase 2|heart alpha-kinase
POPDC3	MGC22671|bA355M14.1|POP3	popeye domain containing 3
KLHL30	FLJ43374	kelch-like family member 30
MIR3654	hsa-mir-3654	microRNA 3654
TRG-GCC1-1	TRNAG30	transfer RNA glycine 30 (anticodon GCC)
SHFM1P1	DSS1P1|SHFM1P	split hand/foot malformation (ectrodactyly) type 1 pseudogene 1
SERPINA3	alpha-1-antichymotrypsin|AACT|ACT	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3
FCGR1B	CD64b	Fc fragment of IgG, high affinity Ib, receptor (CD64)
MIR4460	hsa-mir-4460	microRNA 4460
TMX3	TXNDC10|KIAA1830|FLJ20793|PDIA13	thioredoxin-related transmembrane protein 3|protein disulfide isomerase family A, member 13
UQCRFS1P3		ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1 pseudogene 3
ZNF214		zinc finger protein 214
USP50		ubiquitin specific peptidase 50
GOLGA2P9		golgin A2 pseudogene 9
LINC00662		long intergenic non-protein coding RNA 662
MIR558	MIRN558|hsa-mir-558	microRNA 558
TCP1P3	TCP1L3	t-complex 1 pseudogene 3|t-complex 1-like 3
MIR548G	hsa-mir-548g|MIRN548G	microRNA 548g
DSTN	ADF|ACTDP	destrin (actin depolymerizing factor)
MIR3120	hsa-mir-3120	microRNA 3120
ASRGL1	FLJ22316|ALP1|ALP	asparaginase-like 1 protein|asparaginase like 1
HMGB1P15		high mobility group box 1 pseudogene 15
RCBTB2P1		regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2 pseudogene 1
VTI1A	Vti1a|MVti1|Vti1-rp2	vesicle transport through interaction with t-SNAREs 1A
SEPT12	FLJ25410	septin 12
RNU6-1040P		RNA, U6 small nuclear 1040, pseudogene
MIR3065	hsa-mir-3065	microRNA 3065
SLC28A1	CNT1	solute carrier family 28 (concentrative nucleoside transporter), member 1|solute carrier family 28 (sodium-coupled nucleoside transporter), member 1
SNORD74	Z18|U74	small nucleolar RNA, C/D box 74
RPS15AP22		ribosomal protein S15a pseudogene 22
HSH2D	FLJ14886|ALX|HSH2	hematopoietic SH2 domain containing
C3orf70		chromosome 3 open reading frame 70
ERVFRD-3		endogenous retrovirus group FRD, member 3
GP1BA	GP1B|CD42b	glycoprotein Ib (platelet), alpha polypeptide
TRAJ17		T cell receptor alpha joining 17
ZMYM4-AS1		ZMYM4 antisense RNA 1
RPL23AP48		ribosomal protein L23a pseudogene 48
LGALS3BP	MAC-2-BP|M2BP|CyCAP|BTBD17B|gp90|90K|TANGO10B	lectin, galactoside-binding, soluble, 3 binding protein|Mac-2-binding protein|L3 antigen|serum protein 90K|transport and golgi organization 10 homolog B (Drosophila)
CTSV	CTSL2|CTSU	cathepsin V|cathepsin L2
HSPA5	BiP|GRP78	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)
ZNF276	ZNF477|ZFP276|CENPZ|CENP-Z|MGC45417|ZADT	centromere protein Z|zinc finger protein 276
HCP5P6		HLA complex P5 pseudogene 6
RN7SL91P		RNA, 7SL, cytoplasmic 91, pseudogene
CENPV	CENP-V|PRR6|p30	centromere protein V
SLC22A7	OAT2|NLT	solute carrier family 22 (organic anion transporter), member 7
RPS28P2		ribosomal protein S28 pseudogene 2
TSTD2	C9orf97|PP4189	thiosulfate sulfurtransferase (rhodanese)-like domain containing 2
KLRC3	NKG2-E	killer cell lectin-like receptor subfamily C, member 3
GSTM1	GST1|H-B|MU	glutathione S-transferase mu 1
RN7SKP31		RNA, 7SK small nuclear pseudogene 31
LINC00592		long intergenic non-protein coding RNA 592
NIFKP8	MKI67IPP8	nucleolar protein interacting with the FHA domain of MKI67 pseudogene 8
GPR36		G protein-coupled receptor 36
HCG24	dJ1033B10.15	HLA complex group 24 (non-protein coding)
CHCHD7	COX23|MGC2217	COX23 cytochrome c oxidase assembly homolog (S. cerevisiae)|coiled-coil-helix-coiled-coil-helix domain containing 7
LRCH3	MGC4126	leucine-rich repeats and calponin homology (CH) domain containing 3
SMG1P6		SMG1 pseudogene 6
MIR4495	hsa-mir-4495	microRNA 4495
C5orf58		chromosome 5 open reading frame 58
RN7SL586P		RNA, 7SL, cytoplasmic 586, pseudogene
FCHO1	KIAA0290	FCH domain only 1
HNRNPA1P14		heterogeneous nuclear ribonucleoprotein A1 pseudogene 14
PEBP1	HCNP|PBP|PEBP|RKIP	phosphatidylethanolamine binding protein 1|Raf kinase inhibitory protein|hippocampal cholinergic neurostimulating peptide
RNA5SP185	RN5S185	RNA, 5S ribosomal pseudogene 185
GYS2		glycogen synthase 2 (liver)
CLIC1P1		chloride intracellular channel 1 pseudogene 1
LINC00610	FLJ45212|C11orf55	long intergenic non-protein coding RNA 610
TRL-CAG1-3	TRNAL30	transfer RNA leucine 30 (anticodon CAG)
LAGE3	CVG5|DXS9879E|ITBA2|ESO3|DXS9951E	L antigen family, member 3|DNA segment on chromosome X (unique) 9879 expressed sequence
HMGB1P8	HMG1L8|HMGB1L8	high mobility group box 1 pseudogene 8
TDG		thymine-DNA glycosylase|G/T mismatch-specific thymine DNA glycosylase
F3	CD142	coagulation factor III (thromboplastin, tissue factor)
HLA-DPA2	HLA-DP2A	major histocompatibility complex, class II, DP alpha 2 (pseudogene)
CHCHD2P2		coiled-coil-helix-coiled-coil-helix domain containing 2 pseudogene 2
TRS-AGA6-1	TRNAS26	transfer RNA serine 26 (anticodon AGA)
IQGAP2		IQ motif containing GTPase activating protein 2
RPL23AP26		ribosomal protein L23a pseudogene 26
FAM90A1	FLJ10408	family with sequence similarity 90, member A1
TUSC8	LINC01071|XLOC_010588	tumor suppressor candidate 8 (non-protein coding)
CTSE		cathepsin E
C11orf42	MGC34805	chromosome 11 open reading frame 42
NPM1P43		nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 43
FUT3	LE|CD174	fucosyltransferase 3 (galactoside 3(4)-L-fucosyltransferase, Lewis blood group)
OR52K2		olfactory receptor, family 52, subfamily K, member 2
DSCAM	CHD2-42|CHD2-52	Down syndrome cell adhesion molecule
RN7SL701P		RNA, 7SL, cytoplasmic 701, pseudogene
RPL10P7		ribosomal protein L10 pseudogene 7
VTRNA1-2	HVG2|VAULTRC2|VR2|hvg-2|vtRNA1-2	vault RNA 1-2
RGL3	FLJ32585	ral guanine nucleotide dissociation stimulator-like 3
RPL21P132		ribosomal protein L21 pseudogene 132
F11-AS1		F11 antisense RNA 1
PIRC23		piwi-interacting RNA cluster 23
RN7SL788P		RNA, 7SL, cytoplasmic 788, pseudogene
SSX9		synovial sarcoma, X breakpoint 9
MIR1302-3	hsa-mir-1302-3|MIRN1302-3	microRNA 1302-3
PRR25	gs64	proline rich 25
OR51E1	OR51E1P|GPR136|OR52A3P|GPR164	olfactory receptor, family 51, subfamily E, member 1
MIR96	DFNA50|MIRN96|hsa-mir-96	deafness, autosomal dominant 50|microRNA 96
RN7SL272P		RNA, 7SL, cytoplasmic 272, pseudogene
RPL21P81		ribosomal protein L21 pseudogene 81
OR6N1		olfactory receptor, family 6, subfamily N, member 1
FDXACB1	LOC91893|hCG_2033039	ferredoxin-fold anticodon binding domain containing 1|hypothetical protein BC006136
OR5AU1		olfactory receptor, family 5, subfamily AU, member 1
C1orf233		chromosome 1 open reading frame 233
RNU4ATAC11P		RNA, U4atac small nuclear 11, pseudogene
UBE2Q2P4Y	UBE2Q2PY1	ubiquitin-conjugating enzyme E2Q family member 2 pseudogene 4, Y-linked
RPL37P6		ribosomal protein L37 pseudogene 6
SNX2P2		sorting nexin 2 pseudogene 2
KRT15	K1CO|CK15|K15	type I cytoskeletal 15|keratin 15|cytokeratin 15|keratin-15, basic|keratin-15, beta
SESN2	SES2|HI95|DKFZp761M0212|SEST2	sestrin 2
TRK-CTT1-1	TRNAK13	transfer RNA lysine 13 (anticodon CUU)
KANSL1	NSL1|KIAA1267|CENP-36|DKFZP727C091|MSL1v1	KAT8 regulatory NSL complex subunit 1|centromere protein 36
BASP1P1		brain abundant, membrane attached signal protein 1 pseudogene 1
LINC00693		long intergenic non-protein coding RNA 693
SIGLEC8	SIGLEC8L|SIGLEC-8|SAF2|MGC59785	sialic acid binding Ig-like lectin 8
RNA5SP225	RN5S225	RNA, 5S ribosomal pseudogene 225
OR7E85P	OR7E88P	olfactory receptor, family 7, subfamily E, member 85 pseudogene
DEF8	FLJ20186	differentially expressed in FDCP 8 homolog (mouse)
ZBTB12P1	ZBTB12B|ZNF920	zinc finger and BTB domain containing 12 pseudogene 1
RNU6-751P		RNA, U6 small nuclear 751, pseudogene
NAALADL1		N-acetylated alpha-linked acidic dipeptidase-like 1|ileal peptidase I100
GPR55		G protein-coupled receptor 55
FRA2E		fragile site, aphidicolin type, common, fra(2)(p13)
NOXRED1	FLJ32809|C14orf148	NADP-dependent oxidoreductase domain containing 1
SNRPEP4		small nuclear ribonucleoprotein polypeptide E pseudogene 4
OTUD1	OTDC1|DUBA7	OTU domain containing 1|OTU deubiquitinase 1
SHC3	SHCC|NSHC|N-Shc	SHC (Src homology 2 domain containing) transforming protein 3
FAM83F		family with sequence similarity 83, member F
MIR7-3HG	Huh7|PGSF1b|PGSF1|PGSF1a|uc002mbe.2|NCRNA00306|LINC00306|C19orf30	MIR7-3 host gene (non-protein coding)|pituitary gland specific factor 1a|pituitary gland specific factor 1b
RN7SL473P		RNA, 7SL, cytoplasmic 473, pseudogene
ENTPD7	FLJ30978|LALP1	ectonucleoside triphosphate diphosphohydrolase 7
PCDHA9	PCDH-ALPHA9|KIAA0345	KIAA0345-like 5|protocadherin alpha 9
PIRC7		piwi-interacting RNA cluster 7
RPS24P19		ribosomal protein S24 pseudogene 19
LINC00556		long intergenic non-protein coding RNA 556
RPSAP59		ribosomal protein SA pseudogene 59
ITGB5-AS1		ITGB5 antisense RNA 1
KIAA0556		KIAA0556
LINC01124		long intergenic non-protein coding RNA 1124
HOXC13-AS	HOXC-AS5	HOXC13 antisense RNA
GPC4	K-glypican	glypican 4|glypican proteoglycan 4
KATNBL1P2		katanin p80 subunit B-like 1 pseudogene 2
FCF1P5		FCF1 pseudogene 5
NDUFS5P3		NADH dehydrogenase (ubiquinone) Fe-S protein 5, 15kDa (NADH-coenzyme Q reductase) pseudogene 3
PRDX4	AOE37-2	peroxiredoxin 4
SUOX		sulfite oxidase
MIR7974	hsa-mir-7974	microRNA 7974
RENS2	MRXS9	Renpenning syndrome 2|Renpenning syndrome 2 (Renpenning-like syndrome)
SLC27A3	ACSVL3|FATP3|MGC4365	solute carrier family 27 (fatty acid transporter), member 3
ATP5J2P4		ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F2 pseudogene 4
PI4KAP1		phosphatidylinositol 4-kinase, catalytic, alpha pseudogene 1
RPL17P1	dJ1178H5.1	ribosomal protein L17 pseudogene 1
TRL-CAG3-1	TRNAL21	transfer RNA leucine 21 (anticodon CAG)
PCBP2P2		poly(rC) binding protein 2 pseudogene 2
AGXT	SPT|AGT1|SPAT|AGXT1|AGT|PH1	alanine-glyoxylate aminotransferase|L-alanine: glyoxylate aminotransferase 1|serine:pyruvate aminotransferase|glycolicaciduria|oxalosis I|primary hyperoxaluria type 1
RPS26P33		ribosomal protein S26 pseudogene 33
P2RY12	P2Y12|HORK3|SP1999	purinergic receptor P2Y, G-protein coupled, 12
OR6C71P		olfactory receptor, family 6, subfamily C, member 71 pseudogene
RPL26P32		ribosomal protein L26 pseudogene 32
MIR7158	hsa-mir-7158	microRNA 7158
HTRA2	OMI|PRSS25|PARK13	HtrA serine peptidase 2
ARHGEF28	RGNEF|p190RhoGEF|RIP2	Rho guanine nucleotide exchange factor (GEF) 28
UBL3	FLJ32018|HCG-1|PNSC1|DKFZP434K151	ubiquitin-like 3
EXOSC4	SKI6|RRP41A|RRP41|p12A|Rrp41p|hRrp41p|FLJ20591|Ski6p	exosome component Rrp41|exosome component 4
CICP10		capicua transcriptional repressor pseudogene 10
RPS6P12		ribosomal protein S6 pseudogene 12
OR4D8P		olfactory receptor, family 4, subfamily D, member 8 pseudogene
OR10D5P		olfactory receptor, family 10, subfamily D, member 5 pseudogene
SLC30A6	ZNT6|FLJ31101	solute carrier family 30 (zinc transporter), member 6
EMC9	FAM158A|C14orf122|CGI-112	ER membrane protein complex subunit 9
PRC1-AS1		PRC1 antisense RNA 1
RBM33	PRR8|DKFZp686F102|DKFZp434D1319|MGC20460	RNA binding motif protein 33
LINC01310	WI2-81516E3.1	
OR7D4	OR19-B|OR7D4P|hg105	olfactory receptor, family 7, subfamily D, member 4
ERV9-1	pTR2	endogenous retrovirus group 9, member 1
C1orf68	LEP7	chromosome 1 open reading frame 68
RNU6-671P		RNA, U6 small nuclear 671, pseudogene
RPL5P34		ribosomal protein L5 pseudogene 34
IGKV5-2	B2|IGKV52	immunoglobulin kappa variable 5-2
RN7SKP49		RNA, 7SK small nuclear pseudogene 49
PRKG1-AS1		PRKG1 antisense RNA 1
PKN3	PKNbeta	protein kinase N3
RNU6-926P		RNA, U6 small nuclear 926, pseudogene
C2orf72	LOC257407	chromosome 2 open reading frame 72
UBE2Q2P7		ubiquitin-conjugating enzyme E2Q family member 2 pseudogene 7
CD40LG	gp39|HIGM1|hCD40L|TNFSF5|TRAP|IMD3|CD40L|CD154	TNF-related activation protein|CD40 antigen ligand|tumor necrosis factor (ligand) superfamily member 5|hyper-IgM syndrome|CD40 ligand|T-B cell-activating molecule
RNU6-975P		RNA, U6 small nuclear 975, pseudogene
SERPINA6	CBG	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 6|corticosteroid binding globulin|transcortin
YWHAEP1		tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon pseudogene 1
MYEOV	OCIM	myeloma overexpressed
RNA5S15	RN5S15	RNA, 5S ribosomal 15
MTAP	MSAP|c86fus	methylthioadenosine phosphorylase
ANKLE2	Lem4|KIAA0692|LEMD7	LEM domain containing 7|ankyrin repeat and LEM domain containing 2
KIF21A	FLJ20052|FEOM1	kinesin family member 21A
TRC-GCA4-1	TRNAC7	transfer RNA cysteine 7 (anticodon GCA)
TMEM30C	CDC50C	transmembrane protein 30C
KRTAP2-5P	KAP2A|KRTAP2P1	keratin associated protein 2-5, pseudogene
ULK1	ATG1|ATG1A	ATG1 autophagy related 1 homolog (S. cerevisiae)|unc-51 like autophagy activating kinase 1|unc-51-like kinase 1 (C. elegans)
CCNO	UNG2|UDG2|FLJ22422|CCNU	cyclin O
RNU6-1099P		RNA, U6 small nuclear 1099, pseudogene
HMGN2P3	HMGN2L3	high mobility group nucleosomal binding domain 2 pseudogene 3
SALL1	ZNF794|TBS|Hsal1	spalt-like transcription factor 1|sal-like 1 (Drosophila)
L1RE1	L1.2|LRE1	LINE1 retrotransposable element 1
ATIC	PURH|AICARFT|IMPCHASE	phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase|5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase
FEM1C	EUROIMAGE686608|EUROIMAGE783647|KIAA1785|FEM1A	fem-1 homolog c (C. elegans)
RPS16P1		ribosomal protein S16 pseudogene 1
PGAM5	MGC5352|BXLBv68	phosphoglycerate mutase family member 5
HOOK2	HK2	hook homolog 2 (Drosophila)|hook microtubule-tethering protein 2
MFAP1		microfibrillar-associated protein 1
ZNF197	ZKSCAN9|ZNF166|ZSCAN41|P18|D3S1363E	zinc finger protein 197
LEFTY1	LEFTYB|LEFTB	left-right determination factor 1
TKCR	TKC	torticollis, keloids, cryptorchidism and renal dysplasia
SURF6	FLJ30322|RRP14	surfeit 6|surfeit locus protein 6
RN7SKP195		RNA, 7SK small nuclear pseudogene 195
PPIAP14	PPIP4	peptidylprolyl isomerase A (cyclophilin A) pseudogene 14
RN7SL585P		RNA, 7SL, cytoplasmic 585, pseudogene
ZBTB17	pHZ-67|ZNF60|ZNF151|MIZ1	zinc finger and BTB domain containing 17
IGLL1	14.1|IGL5|IGVPB|IGLL|CD179B	immunoglobulin lambda-like polypeptide 1
RNU7-114P		RNA, U7 small nuclear 114 pseudogene
NPM1P46		nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 46
RAB21	KIAA0118	RAB21, member RAS oncogene family
DPYSL2	CRMP2|DRP-2|DRP2|DHPRP2	dihydropyrimidinase-like 2
ZNF69	Cos5	zinc finger protein 69
RNU6-725P		RNA, U6 small nuclear 725, pseudogene
KIF2C	MCAK|CT139|KNSL6	kinesin family member 2C
RP29		retinitis pigmentosa 29 (autosomal recessive)
EEF1GP7		eukaryotic translation elongation factor 1 gamma pseudogene 7
HIP1R	HIP12|ILWEQ|KIAA0655|FLJ14000|HIP3	huntingtin interacting protein 1 related
RN7SKP298		RNA, 7SK small nuclear pseudogene 298
RPS15P1		ribosomal protein S15 pseudogene 1
KLK11	TLSP|PRSS20	kallikrein-related peptidase 11
RPS24P13		ribosomal protein S24 pseudogene 13
LSM12P1	LSM12P	LSM12 pseudogene 1
FTH1P21	FTHL21|FTHP2	ferritin, heavy polypeptide 1 pseudogene 21
MT-TG	trnG|MTTG	mitochondrially encoded tRNA glycine
TUBA1B	K-ALPHA-1	tubulin, alpha, ubiquitous|tubulin, alpha 1b
TET1	LCX|CXXC6|KIAA1676|bA119F7.1	leukemia-associated protein with a CXXC domain|ten-eleven translocation-1|tet methylcytosine dioxygenase 1
MARCKSP1	MACSL1	myristoylated alanine-rich protein kinase C substrate pseudogene 1
RPS6KC1	humS6PKh1	ribosomal protein S6 kinase, 52kDa, polypeptide 1
MMRN1	GPIa*|EMILIN4|MMRN|ECM	glycoprotein Ia*|multimerin 1
IFT22	FLJ13225|RABL5|FLJ14117|DKFZp761N0823	intraflagellar transport 22 homolog (Chlamydomonas)|RAB, member RAS oncogene family-like 5
MIDN		midnolin
AVPR1A	AVPR1	arginine vasopressin receptor 1A
NPM3		nucleophosmin/nucleoplasmin 3
MTRNR2L10		MT-RNR2-like 10
RN7SL624P		RNA, 7SL, cytoplasmic 624, pseudogene
IGHJ1		immunoglobulin heavy joining 1
FAM86A	MGC19636|SB153	family with sequence similarity 86, member A
MIR6813	hsa-mir-6813	microRNA 6813
CYP46A1	CYP46	cytochrome P450, family 46, subfamily A, polypeptide 1
FAM186A	LOC121006	family with sequence similarity 186, member A
MIR152	hsa-mir-152|MIRN152	microRNA 152
KCNIP4	CALP|KCHIP4|MGC44947	Kv channel interacting protein 4
TMEM239		transmembrane protein 239
ZNF684	MGC27466	hypothetical protein MGC27466|zinc finger protein 684
MTND5P29		MT-ND5 pseudogene 29
RN7SL246P		RNA, 7SL, cytoplasmic 246, pseudogene
SCCPDH	CGI-49|NET11	saccharopine dehydrogenase (putative)
NYX	CSNB1|CSNB1A|CSNB4|CLRP	nyctalopin
PSMG1	PAC1|LRPC21|c21-LRP|DSCR2	proteasome (prosome, macropain) assembly chaperone 1
RNA5SP240	RN5S240	RNA, 5S ribosomal pseudogene 240
RPL36AP6	bA380I20.1	ribosomal protein L36a pseudogene 6
IDO1	IDO|INDO	indoleamine 2,3-dioxygenase 1
LAPTM5		lysosomal protein transmembrane 5
LINC00927		long intergenic non-protein coding RNA 927
TIMM8BP2		translocase of inner mitochondrial membrane 8B pseudogene 2
KRT8P24		keratin 8 pseudogene 24
RNF130	G1RZFP|GOLIATH|GP	ring finger protein 130
UBXN7-AS1		UBXN7 antisense RNA 1
MYT1L-AS1		MYT1L antisense RNA 1
TRV-AAC1-4	TRV1|TRNAV1|TRV	transfer RNA valine 1 (anticodon AAC)
OR51C1P	OST734|OR51C3P|OR51C2P	olfactory receptor, family 51, subfamily C, member 1 pseudogene
TRIOBP	DFNB28|Tara|TAP68|KIAA1662|HRIHFB2122	TRIO and F-actin binding protein
PLA2G2D	sPLA2S	phospholipase A2, group IID
ARHGAP29	PARG1	Rho GTPase activating protein 29
GPR34		G protein-coupled receptor 34
C1orf54	FLJ23221	chromosome 1 open reading frame 54
SCARNA18	U109	small Cajal body-specific RNA 18
MKRN7P	MKRNP3|ZNF127L5	makorin ring finger protein 7, pseudogene
HSD3BP5		hydroxy-delta-5-steroid dehydrogenase, 3 beta, pseudogene 5
FKBP4P6		FK506 binding protein 4, 59kDa pseudogene 6
HILS1		histone linker H1 domain, spermatid-specific 1, pseudogene
LINC00560		long intergenic non-protein coding RNA 560
MTHSP1		mitochondrially encoded major H-strand promoter
IYD	dJ422F24.1|C6orf71|DEHAL1	iodotyrosine deiodinase
SNORA4	ACA4	small nucleolar RNA, H/ACA box 4
RPL26	L26	ribosomal protein L26
TRK-TTT12-1	TRNAK7	transfer RNA lysine 7 (anticodon UUU)
FRMD6	EX1|MGC17921|C14orf31|willin	expanded homolog|FERM domain containing 6
SCP2		sterol carrier protein 2
MIR34B	MIRN34B|hsa-mir-34b	microRNA 34b
TAS2R20	T2R56|TAS2R49|T2R20	taste receptor, type 2, member 20
TRAM1L1	MGC26568	translocation associated membrane protein 1-like 1
SCA25		spinocerebellar ataxia 25
METTL1	TRMT8|C12orf1|TRM8	methyltransferase like 1
RPL5P20		ribosomal protein L5 pseudogene 20
KSR1	RSU2|KSR	kinase suppressor of ras 1
RNU7-160P		RNA, U7 small nuclear 160 pseudogene
RNU6-9	U6-9	RNA, U6 small nuclear 9
MRPS16P2	bA379F14.1|MRPS16P	mitochondrial ribosomal protein S16 pseudogene 2
IDDM11		insulin-dependent diabetes mellitus 11
GPR107	RP11-88G17|KIAA1624|FLJ20998|LUSTR1	G protein-coupled receptor 107
RN7SKP240		RNA, 7SK small nuclear pseudogene 240
C1orf159	FLJ20584	chromosome 1 open reading frame 159
RN7SKP244		RNA, 7SK small nuclear pseudogene 244
DBF4P2		DBF4 zinc finger pseudogene 2
ITGA5	FNRA|CD49e	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)
RN7SL483P		RNA, 7SL, cytoplasmic 483, pseudogene
OR6P1		olfactory receptor, family 6, subfamily P, member 1
EIF2D	LGTN	eukaryotic translation initiation factor 2D
SCN11A	Nav1.9|SNS-2|NaN|SCN12A	sodium channel, voltage-gated, type XI, alpha subunit
RARRES3	TIG3|HRASLS4	retinoic acid receptor responder (tazarotene induced) 3
SMAP1	FLJ13159|SMAP-1	small ArfGAP 1
AP1B1	ADTB1|CLAPB2|BAM22|AP105A	adaptor-related protein complex 1, beta 1 subunit
TSPAN1	TSPAN-1|NET-1	tetraspanin 1
SOX15	SOX20|SOX27|SOX26	SRY (sex determining region Y)-box 15
RNU1-18P		RNA, U1 small nuclear 18, pseudogene
KRASP1	KRAS1P	Kirsten rat sarcoma viral oncogene homolog pseudogene 1 (functional)|v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog pseudogene 1
CLVS1	RLBP1L1|MGC34646|CRALBPL|C6orf212L	clavesin 1
MIR4714	hsa-mir-4714	microRNA 4714
MRX77		mental retardation, X-linked 77
TXNP1		thioredoxin pseudogene 1
PABPC4	iPABP|APP-1	poly(A) binding protein, cytoplasmic 4 (inducible form)
BHLHE22	BHLHB5|Beta3|CAGL85|bHLHe22|TNRC20	basic helix-loop-helix family, member e22
BTBD7P1		BTB (POZ) domain containing 7 pseudogene 1
C19orf67		chromosome 19 open reading frame 67
MIR6824	hsa-mir-6824	microRNA 6824
MIS18A	C21orf45|FASP1|hMis18alpha|C21orf46|B28	MIS18 kinetochore protein A|MIS18 kinetochore protein homolog A (S. pombe)
FTCD-AS1		FTCD antisense RNA 1
THRSP	SPOT14|THRP|S14|LPGP1|Lpgp	SPOT14 homolog (rat)|thyroid hormone responsive
KIAA1958	FLJ39294	KIAA1958
MCM4	P1-Cdc21|CDC21|MGC33310|CDC54|hCdc21	minichromosome maintenance complex component 4
FAM90A2P		family with sequence similarity 90, member A2, pseudogene
TUBBP2		tubulin, beta pseudogene 2
LAS1L	FLJ12525	LAS1-like (S. cerevisiae)
MIR1252	MIRN1252|hsa-mir-1252	microRNA 1252
RNU2-8P		RNA, U2 small nuclear 8, pseudogene
DCUN1D3	DKFZp686O0290|FLJ41725|MGC48972	DCN1, defective in cullin neddylation 1, domain containing 3|DCN1, defective in cullin neddylation 1, domain containing 3 (S. cerevisiae)
RPL31P42		ribosomal protein L31 pseudogene 42
LINC00174	NCRNA00174	long intergenic non-protein coding RNA 174
SPATA7	LCA3|HSD3	Leber congenital amaurosis 3|spermatogenesis associated 7
TMPRSS15	PRSS7|ENTK|MGC133046	transmembrane protease, serine 15|proenterokinase|enteropeptidase
NAT1	AAC1	N-acetyltransferase 1 (arylamine N-acetyltransferase)
ATP6V0B	HATPL|VMA16|ATP6F	ATPase, H+ transporting, lysosomal 21kDa, V0 subunit b
MIR548A3	MIRN548A3|hsa-mir-548a-3	microRNA 548a-3
MIR3126	hsa-mir-3126	microRNA 3126
TRIM36	RNF98|HAPRIN|RBCC728	tripartite motif protein 36|zinc-binding protein Rbcc728|tripartite motif containing 36|RING finger protein 98
RNU6-1008P		RNA, U6 small nuclear 1008, pseudogene
ASH1L-AS1		ASH1L antisense RNA 1
MIR4440	hsa-mir-4440	microRNA 4440
UGT2B24P		UDP glucuronosyltransferase 2 family, polypeptide B24 pseudogene
OR2B7P	hs6M1-31P	olfactory receptor, family 2, subfamily B, member 7 pseudogene
JMJD4	FLJ12517	jumonji domain containing 4
CLEC16A	Gop-1|KIAA0350	C-type lectin domain family 16, member A
OR8U8		olfactory receptor, family 8, subfamily U, member 8
COX10-AS1	COX10AS|COX10-AS	COX10 antisense RNA 1
OR5W1P		olfactory receptor, family 5, subfamily W, member 1 pseudogene
LHFP	MGC22429	lipoma HMGIC fusion partner
RNU6-1073P		RNA, U6 small nuclear 1073, pseudogene
SIRPG-AS1		
PGM5P2		phosphoglucomutase 5 pseudogene 2
HEATR1	UTP10|BAP28|FLJ10359	UTP10, small subunit (SSU) processome component, homolog (yeast)|HEAT repeat containing 1
OR51R1P		olfactory receptor, family 51, subfamily R, member 1 pseudogene
MKRN2OS	C3orf83|MKRN2-AS1	chromosome 3 open reading frame 83
SNORD114-23	14q(II-23)	small nucleolar RNA, C/D box 114-23
RPSAP63		ribosomal protein SA pseudogene 63
CDC27P2		cell division cycle 27 pseudogene 2
CROCC	ROLT|rootletin	rootletin, ciliary rootlet protein|ciliary rootlet coiled-coil, rootletin
MT-TK	trnK|MERRF|MTTK	mitochondrially encoded tRNA lysine
ARHGEF9	KIAA0424|PEM-2	collybistin|Cdc42 guanine nucleotide exchange factor (GEF) 9
CCM2L	dJ310O13.5|C20orf160	cerebral cavernous malformation 2-like
CALML6	CAGLP	calmodulin-like 6
AVL9	KIAA0241	AVL9 homolog (S. cerevisiase)
RPL9	L9	ribosomal protein L9
RNU3P1	U3	RNA, U3 small nucleolar pseudogene 1
BTBD19		BTB (POZ) domain containing 19
ZNF655	VIK-1|VIK	zinc finger protein 655
PSMA6P1	PSMA6Y|PSMA6P|PSMA6-LIKE	proteasome (prosome, macropain) subunit, alpha type, 6 pseudogene 1
TCEANC	MGC17403	transcription elongation factor A (SII) N-terminal and central domain containing
