OMIM:264800	PSEUDOXANTHOMA ELASTICUM|^|PXE	GRONBLAD STRANDBERG SYNDROME
OMIM:112440	BRACHYDACTYLY COMBINED B AND E TYPES	PITT WILLIAMS BRACHYDACTYLY|^|BRACHYDACTYLY BALLARD TYPE
OMIM:606072	RIPPLING MUSCLE DISEASE|^|RMD	
OMIM:606070	AMYOTROPHIC LATERAL SCLEROSIS 21|^|ALS21	
OMIM:606071	HEREDITARY MOTOR AND SENSORY NEUROPATHY TYPE IIC|^|HMSN2C	
OMIM:215520	CILIARY DYSKINESIA WITH TRANSPOSITION OF CILIARY MICROTUBULES	
OMIM:606713	VAN DER WOUDE SYNDROME 2|^|VWS2	
OMIM:270750	SPASTIC PARAPLEGIA 23|^|SPG23	
OMIM:261630	HYPERPHENYLALANINEMIA BH4 DEFICIENT C|^|HPABH4C	HYPERPHENYLALANINEMIA TETRAHYDROBIOPTERIN DEFICIENT DUE TO DHPR DEFICIENCY|^|DIHYDROPTERIDINE REDUCTASE DEFICIENCY|^|DHPR DEFICIENCY|^|QUINOID DIHYDROPTERIDINE REDUCTASE DEFICIENCY|^|QDPR DEFICIENCY
OMIM:259900	HYPEROXALURIA PRIMARY TYPE I|^|HP1	
OMIM:610217	NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 2B|^|NBIA2B	
OMIM:185200	STRIAE DISTENSAE FAMILIAL	
OMIM:610213	ANEURYSM INTRACRANIAL BERRY 4|^|ANIB4	
OMIM:610212	DEAFNESS AUTOSOMAL RECESSIVE 66|^|DFNB66	
OMIM:164900	OPHTHALMOMANDIBULOMELIC DYSPLASIA	OMM SYNDROME
OMIM:132100	PHOTOPAROXYSMAL RESPONSE 1|^|PPR1	
OMIM:131100	MULTIPLE ENDOCRINE NEOPLASIA TYPE I|^|MEN1	
OMIM:400004	RETINITIS PIGMENTOSA Y LINKED|^|RPY	
OMIM:224500	DYSTONIA 2 TORSION AUTOSOMAL RECESSIVE|^|DYT2	
OMIM:304110	CRANIOFRONTONASAL SYNDROME|^|CFNS	CRANIOFRONTONASAL DYSPLASIA|^|CFND|^|CRANIOFRONTONASAL DYSOSTOSIS
OMIM:600652	DEAFNESS AUTOSOMAL DOMINANT 4A|^|DFNA4A	
OMIM:277400	METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA cblC TYPE	METHYLMALONIC ACIDEMIA AND HOMOCYSTINURIA cblC TYPE|^|METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA VITAMIN B12 RESPONSIVE|^|VITAMIN B12 METABOLIC DEFECT WITH COMBINED DEFICIENCY OF METHYLMALONYL CoA MUTASE AND HOMOCYSTEINE METHYLTETRAHYDROFOLATE METHYLTRANSFERASE
OMIM:605572	ABDOMINAL OBESITY METABOLIC SYNDROME QUANTITATIVE TRAIT LOCUS 2	
OMIM:614826	NYSTAGMUS 7 CONGENITAL AUTOSOMAL DOMINANT|^|NYS7	
OMIM:614822	SPERMATOGENIC FAILURE 10|^|SPGF10	
OMIM:614823	AORTIC VALVE DISEASE 2|^|AOVD2	
OMIM:614820	ALTERNATING HEMIPLEGIA OF CHILDHOOD 2|^|AHC2	
OMIM:210710	MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM TYPE I|^|MOPD1	MOPD I|^|MOPD|^|OSTEODYSPLASTIC PRIMORDIAL DWARFISM TYPE I|^|BRACHYMELIC PRIMORDIAL DWARFISM|^|TAYBI LINDER SYNDROME|^|TALS|^|CEPHALOSKELETAL DYSPLASIA|^|LOW BIRTH WEIGHT DWARFISM WITH SKELETAL DYSPLASIA
OMIM:602401	ECTODERMAL DYSPLASIA 8 HAIR TOOTH NAIL TYPE|^|ECTD8	
OMIM:602400	ICHTHYOSIS CONGENITAL AUTOSOMAL RECESSIVE 11|^|ARCI11	
OMIM:602404	PARKINSON DISEASE 3 AUTOSOMAL DOMINANT|^|PARK3	
OMIM:615191	LISSENCEPHALY 5|^|LIS5	
OMIM:615190	DYSKERATOSIS CONGENITA AUTOSOMAL RECESSIVE 5|^|DKCB5	
OMIM:615193	BLEEDING DISORDER PLATELET TYPE 15|^|BDPLT15	
OMIM:615192	BIRTH WEIGHT QUANTITATIVE TRAIT LOCUS 4|^|BWQTL4	
OMIM:615197	RESTLESS LEGS SYNDROME SUSCEPTIBILITY TO 8|^|RLS8	
OMIM:615198	OSTEOSCLEROTIC METAPHYSEAL DYSPLASIA|^|OSMD	
OMIM:274270	DIHYDROPYRIMIDINE DEHYDROGENASE DEFICIENCY	DPD DEFICIENCY|^|DPYD DEFICIENCY|^|THYMINE URACILURIA HEREDITARY|^|PYRIMIDINEMIA FAMILIAL
OMIM:605750	EXUDATIVE VITREORETINOPATHY 3|^|EVR3	
OMIM:605751	SEIZURES BENIGN FAMILIAL INFANTILE 2|^|BFIS2	
OMIM:204800	AMOBARBITAL DEFICIENT N HYDROXYLATION OF	
OMIM:268000	RETINITIS PIGMENTOSA|^|RP	
OMIM:160150	MYOPATHY CENTRONUCLEAR 1|^|CNM1	
OMIM:149000	KLIPPEL TRENAUNAY WEBER SYNDROME	KTW SYNDROME|^|KLIPPEL TRENAUNAY SYNDROME|^|KTS|^|ANGIOOSTEOHYPERTROPHY SYNDROME
OMIM:615991	BARDET BIEDL SYNDROME 14|^|BBS14	
OMIM:615990	BARDET BIEDL SYNDROME 13|^|BBS13	
OMIM:615993	BARDET BIEDL SYNDROME 16|^|BBS16	
OMIM:615992	BARDET BIEDL SYNDROME 15|^|BBS15	
OMIM:615995	BARDET BIEDL SYNDROME 18|^|BBS18	
OMIM:615994	BARDET BIEDL SYNDROME 17|^|BBS17	
OMIM:615996	BARDET BIEDL SYNDROME 19|^|BBS19	
OMIM:601277	ICHTHYOSIS CONGENITAL AUTOSOMAL RECESSIVE 4A|^|ARCI4A	
OMIM:302960	CHONDRODYSPLASIA PUNCTATA 2 X LINKED DOMINANT|^|CDPX2	CDPXD|^|CPXD|^|CONRADI HUNERMANN SYNDROME|^|HAPPLE SYNDROME|^|CONRADI HUNERMANN HAPPLE SYNDROME
OMIM:203780	ALPORT SYNDROME AUTOSOMAL RECESSIVE	
OMIM:167100	HYPERTROPHIC OSTEOARTHROPATHY PRIMARY AUTOSOMAL DOMINANT|^|PHOAD	
OMIM:233420	46 XY SEX REVERSAL 7|^|SRXY7	
OMIM:110500	BLOOD GROUP DIEGO SYSTEM|^|DI	DIEGO BLOOD GROUP
OMIM:309555	MENTAL RETARDATION WITH OPTIC ATROPHY DEAFNESS AND SEIZURES	GUSTAVSON SYNDROME|^|GUST
OMIM:601186	MICROPHTHALMIA SYNDROMIC 9|^|MCOPS9	
OMIM:239510	HYPERPROLINEMIA TYPE II|^|HYRPRO2	HPII|^|1 PYRROLINE 5 CARBOXYLATE DEHYDROGENASE DEFICIENCY
OMIM:305390	EXUDATIVE VITREORETINOPATHY 2 X LINKED|^|EVR2	
OMIM:177700	GLAUCOMA 1 OPEN ANGLE P|^|GLC1P	
OMIM:271930	STRIATONIGRAL DEGENERATION INFANTILE|^|SNDI	INFANTILE BILATERAL STRIATAL NECROSIS|^|IBSN|^|BILATERAL STRIATAL NECROSIS INFANTILE|^|STRIATAL DEGENERATION FAMILIAL
OMIM:271245	MITOCHONDRIAL DNA DEPLETION SYNDROME 7 HEPATOCEREBRAL TYPE |^|MTDPS7	
OMIM:600059	RETINITIS PIGMENTOSA 13|^|RP13	
OMIM:600057	EXSTROPHY OF BLADDER	
OMIM:212720	MARTSOLF SYNDROME	CATARACT MENTAL RETARDATION HYPOGONADISM
OMIM:604004	MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS 1|^|MLC1	
OMIM:238970	HYPERORNITHINEMIA HYPERAMMONEMIA HOMOCITRULLINURIA SYNDROME	HHH SYNDROME|^|HHHS|^|HHH|^|ORNITHINE TRANSLOCASE DEFICIENCY
OMIM:275630	CHANARIN DORFMAN SYNDROME|^|CDS	NEUTRAL LIPID STORAGE DISEASE WITH ICHTHYOSIS|^|NLSDI|^|TRIGLYCERIDE STORAGE DISEASE WITH IMPAIRED LONG CHAIN FATTY ACID OXIDATION|^|ICHTHYOTIC NEUTRAL LIPID STORAGE DISEASE|^|DCS|^|CHANARIN DORFMAN DISEASE|^|ICHTHYOSIFORM ERYTHRODERMA WITH LEUKOCYTE VACUOLATION
OMIM:278740	XERODERMA PIGMENTOSUM COMPLEMENTATION GROUP E	XPE|^|XP GROUP E|^|XERODERMA PIGMENTOSUM V|^|XP5
OMIM:232600	GLYCOGEN STORAGE DISEASE V|^|GSD5	GSD V|^|MCARDLE DISEASE|^|MYOPHOSPHORYLASE DEFICIENCY|^|MUSCLE GLYCOGEN PHOSPHORYLASE DEFICIENCY|^|PYGM DEFICIENCY
OMIM:615522	COLE DISEASE|^|COLED	GUTTATE HYPOPIGMENTATION AND PUNCTATE PALMOPLANTAR KERATODERMA WITH OR WITHOUT ECTOPIC CALCIFICATION
OMIM:119800	CLUBFOOT CONGENITAL WITH OR WITHOUT DEFICIENCY OF LONG BONES AND OR MIRROR IMAGE POLYDACTYLY|^|CCF	
OMIM:613710	THIAMINE METABOLISM DYSFUNCTION SYNDROME 4 BILATERAL STRIATAL DEGENERATION AND PROGRESSIVE POLYNEUROPATHY TYPE |^|THMD4	
OMIM:598500	WOLFRAM SYNDROME MITOCHONDRIAL FORM	DIABETES INSIPIDUS AND MELLITUS WITH OPTIC ATROPHY AND DEAFNESS MITOCHONDRIAL FORM|^|DIDMOAD SYNDROME MITOCHONDRIAL FORM
OMIM:600638	FIBROSIS OF EXTRAOCULAR MUSCLES CONGENITAL 3A WITH OR WITHOUT EXTRAOCULAR INVOLVEMENT|^|CFEOM3A	
OMIM:600634	PITUITARY ADENOMA PROLACTIN SECRETING	PROLACTINOMA FAMILIAL
OMIM:600630	UV SENSITIVE SYNDROME 1|^|UVSS1	
OMIM:600631	ENURESIS NOCTURNAL 1|^|ENUR1	BEDWETTING
OMIM:303700	BLUE CONE MONOCHROMACY|^|BCM	BLUE CONE MONOCHROMATISM|^|COLORBLINDNESS BLUE MONO CONE MONOCHROMATIC TYPE|^|CBBM
OMIM:238600	HYPERLIPOPROTEINEMIA TYPE I	LIPOPROTEIN LIPASE DEFICIENCY|^|LPL DEFICIENCY|^|HYPERCHYLOMICRONEMIA FAMILIAL|^|HYPERLIPEMIA IDIOPATHIC BURGER GRUTZ TYPE|^|HYPERLIPEMIA ESSENTIAL FAMILIAL|^|LIPASE D DEFICIENCY|^|LIPD DEFICIENCY|^|HYPERLIPOPROTEINEMIA TYPE IA|^|CHYLOMICRONEMIA FAMILIAL
OMIM:610021	HYPERINSULINEMIC HYPOGLYCEMIA FAMILIAL 7|^|HHF7	
OMIM:194380	DEHYDRATED HEREDITARY STOMATOCYTOSIS 1 WITH OR WITHOUT PSEUDOHYPERKALEMIA AND OR PERINATAL EDEMA|^|DHS1	DEHYDRATED HEREDITARY STOMATOCYTOSIS|^|DHS|^|XEROCYTOSIS HEREDITARY|^|DESICCYTOSIS HEREDITARY|^|PSEUDOHYPERKALEMIA FAMILIAL 1 DUE TO RED CELL LEAK|^|PSHK1|^|PSEUDOHYPERKALEMIA EDINBURGH
OMIM:616509	CATARACT 44|^|CTRCT44	
OMIM:303800	COLORBLINDNESS PARTIAL DEUTAN SERIES|^|CBD	DEUTAN COLORBLINDNESS|^|DCB|^|DEUTERANOPIA|^|GREEN COLORBLINDNESS
OMIM:616503	LETHAL CONGENITAL CONTRACTURE SYNDROME 9|^|LCCS9	
OMIM:616502	CONE ROD DYSTROPHY 21|^|CORD21	RETINAL DYSTROPHY WITH EARLY MACULAR INVOLVEMENT
OMIM:616501	CARDIOENCEPHALOMYOPATHY FATAL INFANTILE DUE TO CYTOCHROME c OXIDASE DEFICIENCY 4|^|CEMCOX4	
OMIM:179700	RED CELL PHOSPHOLIPID DEFECT WITH HEMOLYSIS	HIGH RED CELL PHOSPHATIDYLCHOLINE HEMOLYTIC ANEMIA|^|HPCHA|^|PHOSPHATIDYLCHOLINE RED CELL MEMBRANE DISORDER|^|LEAKY RED CELL SYNDROME
OMIM:616507	OSTEOGENESIS IMPERFECTA TYPE XVII|^|OI17	
OMIM:277180	VAS DEFERENS CONGENITAL BILATERAL APLASIA OF|^|CBAVD	CAVD
OMIM:607208	EPILEPTIC ENCEPHALOPATHY EARLY INFANTILE 6|^|EIEE6	
OMIM:174050	POLYCYSTIC LIVER DISEASE|^|PCLD	
OMIM:607202	CELIAC DISEASE SUSCEPTIBILITY TO 5|^|CELIAC5	
OMIM:607200	THYROID DYSHORMONOGENESIS 6|^|TDH6	THYROID HORMONOGENESIS GENETIC DEFECT IN 6|^|HYPOTHYROIDISM CONGENITAL DUE TO DYSHORMONOGENESIS 6
OMIM:603233	PSEUDOHYPOPARATHYROIDISM TYPE IB|^|PHP1B	PHP IB
OMIM:515000	CHLORAMPHENICOL TOXICITY	ANEMIA CHLORAMPHENICOL INDUCED
OMIM:132400	EPIPHYSEAL DYSPLASIA MULTIPLE 1|^|EDM1	
OMIM:266120	URIDINE 5 PRIME MONOPHOSPHATE HYDROLASE DEFICIENCY HEMOLYTIC ANEMIA DUE TO	HEMOLYTIC ANEMIA DUE TO UMPH1 DEFICIENCY|^|PYRIMIDINE 5 PRIME NUCLEOTIDASE DEFICIENCY HEMOLYTIC ANEMIA DUE TO|^|HEMOLYTIC ANEMIA DUE TO P5N DEFICIENCY|^|P5N DEFICIENCY|^|UMPH1 DEFICIENCY
OMIM:104300	ALZHEIMER DISEASE|^|AD	PRESENILE AND SENILE DEMENTIA
OMIM:133020	ERYTHERMALGIA PRIMARY	ERYTHROMELALGIA PRIMARY|^|ERYTHROMELALGIA FAMILIAL
OMIM:603585	CONGENITAL DISORDER OF GLYCOSYLATION TYPE IIf|^|CDG2F	
OMIM:260800	PENTOSURIA|^|PNTSU	L XYLULOSURIA|^|XYLITOL DEHYDROGENASE DEFICIENCY|^|L XYLULOSE REDUCTASE DEFICIENCY
OMIM:607060	PARKINSON DISEASE 8 AUTOSOMAL DOMINANT|^|PARK8	
OMIM:602361	GRACILE BONE DYSPLASIA|^|GCLEB	SKELETAL DYSPLASIA LETHAL WITH GRACILE BONES|^|OSTEOCRANIOSPLENIC SYNDROME|^|OSTEOCRANIOSTENOSIS|^|HABRODYSPLASIA
OMIM:122000	CORNEAL DYSTROPHY POSTERIOR POLYMORPHOUS 1|^|PPCD1	
OMIM:611881	GLYCOGEN STORAGE DISEASE XII|^|GSD12	GSD XII|^|ALDOLASE A DEFICIENCY|^|ALDOA DEFICIENCY|^|ALDOLASE DEFICIENCY RED CELL|^|RED CELL ALDOLASE DEFICIENCY
OMIM:611880	CARDIOMYOPATHY DILATED 2A|^|CMD2A	
OMIM:156510	METAPHYSEAL DYSPLASIA WITH MAXILLARY HYPOPLASIA WITH OR WITHOUT BRACHYDACTYLY|^|MDMHB	
OMIM:611884	CILIARY DYSKINESIA PRIMARY 7|^|CILD7	
OMIM:616625	CHARCOT MARIE TOOTH DISEASE AXONAL TYPE 2W|^|CMT2W	
OMIM:311300	OTOPALATODIGITAL SYNDROME TYPE I|^|OPD1	OPD I SYNDROME|^|OPD SYNDROME 1
OMIM:221750	PITUITARY HORMONE DEFICIENCY COMBINED 3|^|CPHD3	
OMIM:221200	DEAFNESS AND MYOPIA|^|DFNMYP	
OMIM:611081	INFLAMMATORY BOWEL DISEASE 10|^|IBD10	
OMIM:611087	POLYHYDRAMNIOS MEGALENCEPHALY AND SYMPTOMATIC EPILEPSY|^|PMSE	PMSE SYNDROME
OMIM:300136	DIABETES MELLITUS INSULIN DEPENDENT X LINKED SUSCEPTIBILITY TO	IDDMX
OMIM:184400	SPRENGEL DEFORMITY	HIGH SCAPULA
OMIM:615550	DIAMOND BLACKFAN ANEMIA 12|^|DBA12	
OMIM:218900	CROME SYNDROME	
OMIM:614105	METHYLMALONATE SEMIALDEHYDE DEHYDROGENASE DEFICIENCY|^|MMSDHD	MMSDH DEFICIENCY
OMIM:614104	MENTAL RETARDATION AUTOSOMAL DOMINANT 7|^|MRD7	
OMIM:615552	EPISODIC PAIN SYNDROME FAMILIAL 3|^|FEPS3	
OMIM:614101	PLASMA FIBRONECTIN DEFICIENCY	
OMIM:614100	CUTIS LAXA NEONATAL WITH MARFANOID PHENOTYPE	CUTIS LAXA MARFANOID SYNDROME
OMIM:614103	LIPEDEMA	
OMIM:614102	IMMUNOGLOBULIN KAPPA LIGHT CHAIN DEFICIENCY|^|IGKCD	KAPPA CHAIN DEFICIENCY
OMIM:608808	TRANSPOSITION OF THE GREAT ARTERIES DEXTRO LOOPED 1|^|DTGA1	
OMIM:615554	MULTIPLE FIBROADENOMAS OF THE BREAST|^|MFAB	
OMIM:615557	MELIOIDOSIS SUSCEPTIBILITY TO	
OMIM:609313	MENTAL RETARDATION ENTEROPATHY DEAFNESS PERIPHERAL NEUROPATHY ICHTHYOSIS AND KERATODERMA|^|MEDNIK	ERYTHROKERATODERMIA VARIABILIS 3|^|EKV3|^|ERYTHROKERATODERMIA VARIABILIS KAMOURASKA TYPE
OMIM:609310	COLORECTAL CANCER HEREDITARY NONPOLYPOSIS TYPE 2|^|HNPCC2	
OMIM:609311	CHARCOT MARIE TOOTH DISEASE TYPE 4H|^|CMT4H	
OMIM:147950	HYPOGONADOTROPIC HYPOGONADISM 2 WITH OR WITHOUT ANOSMIA|^|HH2	
OMIM:158000	MONILETHRIX|^|MNLIX	
OMIM:111000	BLOOD GROUP KIDD SYSTEM|^|JK	
OMIM:616055	EPISODIC ATAXIA TYPE 8|^|EA8	
OMIM:145001	HYPERPARATHYROIDISM 2|^|HRPT2	HYPERPARATHYROIDISM FAMILIAL PRIMARY WITH MULTIPLE OSSIFYING JAW FIBROMAS|^|HYPERPARATHYROIDISM JAW TUMOR SYNDROME HEREDITARY|^|HPT JT
OMIM:306955	HETEROTAXY VISCERAL 1 X LINKED|^|HTX1	
OMIM:165300	OPTIC ATROPHY 3 AUTOSOMAL DOMINANT|^|OPA3	
OMIM:139090	GRAY PLATELET SYNDROME|^|GPS	
OMIM:600757	OROFACIAL CLEFT 3|^|OFC3	
OMIM:264270	PSEUDOHERMAPHRODITISM FEMALE WITH SKELETAL ANOMALIES	
OMIM:616051	MICROCEPHALY 13 PRIMARY AUTOSOMAL RECESSIVE|^|MCPH13	
OMIM:220150	HYPOURICEMIA RENAL 1|^|RHUC1	DALMATIAN HYPOURICEMIA|^|RENAL HYPOURICEMIA
OMIM:616050	AUTOINFLAMMATION WITH INFANTILE ENTEROCOLITIS|^|AIFEC	
OMIM:119580	BLEPHAROCHEILODONTIC SYNDROME|^|BCDS	BCD SYNDROME|^|CLEFTING ECTROPION AND CONICAL TEETH|^|ECTROPION INFERIOR WITH CLEFT LIP AND OR PALATE|^|ELSCHNIG SYNDROME|^|LAGOPHTHALMIA WITH BILATERAL CLEFT LIP AND PALATE
OMIM:616053	SPINOCEREBELLAR ATAXIA 40|^|SCA40	
OMIM:113950	BUNDLE BRANCH BLOCK FAMILIAL ISOLATED COMPLETE RIGHT	
OMIM:304700	MOHR TRANEBJAERG SYNDROME|^|MTS	DYSTONIA DEAFNESS SYNDROME|^|DDS|^|DEAFNESS DYSTONIA OPTIC ATROPHY SYNDROME|^|DDP|^|DEAFNESS SYNDROME PROGRESSIVE WITH BLINDNESS DYSTONIA FRACTURES AND MENTAL DEFICIENCY
OMIM:616052	MUSCULAR DYSTROPHY DYSTROGLYCANOPATHY LIMB GIRDLE TYPE C 7|^|MDDGC7	
OMIM:615508	ERYTHRODERMA CONGENITAL WITH PALMOPLANTAR KERATODERMA HYPOTRICHOSIS AND HYPER IgE|^|EPKHE	SEVERE DERMATITIS MULTIPLE ALLERGIES AND METABOLIC WASTING SYNDROME|^|SAM SYNDROME
OMIM:615502	MENTAL RETARDATION AUTOSOMAL DOMINANT 21|^|MRD21	
OMIM:615503	SHORT RIB THORACIC DYSPLASIA 8 WITH OR WITHOUT POLYDACTYLY|^|SRTD8	
OMIM:615500	CILIARY DYSKINESIA PRIMARY 26|^|CILD26	
OMIM:615501	MOLYBDENUM COFACTOR DEFICIENCY COMPLEMENTATION GROUP C|^|MOCODC	
OMIM:615506	TELANGIECTASIA HEREDITARY HEMORRHAGIC TYPE 5|^|HHT5	
OMIM:615504	CILIARY DYSKINESIA PRIMARY 27|^|CILD27	
OMIM:615505	CILIARY DYSKINESIA PRIMARY 28|^|CILD28	
OMIM:616089	BLOOD GROUP GERBICH SYSTEM|^|GE	
OMIM:616087	DIABETES MELLITUS NONINSULIN DEPENDENT 5|^|NIDDM5	
OMIM:616084	SIDEROBLASTIC ANEMIA WITH B CELL IMMUNODEFICIENCY PERIODIC FEVERS AND DEVELOPMENTAL DELAY|^|SIFD	
OMIM:616083	MENTAL RETARDATION AUTOSOMAL DOMINANT 30|^|MRD30	
OMIM:616080	MICROCEPHALY 12 PRIMARY AUTOSOMAL RECESSIVE|^|MCPH12	
OMIM:187370	ARTHROGRYPOSIS DISTAL TYPE 10|^|DA10	CONGENITAL PLANTAR CONTRACTURES|^|TENDO CALCANEUS SHORT
OMIM:313350	SPLIT HAND FOOT MALFORMATION 2|^|SHFM2	
OMIM:216360	COACH SYNDROME	CEREBELLAR VERMIS HYPO APLASIA OLIGOPHRENIA CONGENITAL ATAXIA OCULAR COLOBOMA AND HEPATIC FIBROSIS|^|JOUBERT SYNDROME WITH CONGENITAL HEPATIC FIBROSIS
OMIM:250620	3 HYDROXYISOBUTYRYL CoA HYDROLASE DEFICIENCY|^|HIBCHD	BETA HYDROXYISOBUTYRYL CoA DEACYLASE DEFICIENCY|^|HIBCH DEFICIENCY|^|METHACRYLIC ACIDURIA|^|METHACRYLIC ACID TOXICITY|^|VALINE METABOLIC DEFECT
OMIM:154276	MALIGNANT HYPERTHERMIA SUSCEPTIBILITY TO 3	
OMIM:154275	MALIGNANT HYPERTHERMIA SUSCEPTIBILITY TO 2	
OMIM:613908	SPINOCEREBELLAR ATAXIA 35|^|SCA35	
OMIM:613909	SPINOCEREBELLAR ATAXIA 32|^|SCA32	
OMIM:608371	OROFACIAL CLEFT 4|^|OFC4	
OMIM:615768	SPINOCEREBELLAR ATAXIA AUTOSOMAL RECESSIVE 16|^|SCAR16	
OMIM:615767	IMMUNODEFICIENCY COMMON VARIABLE 11|^|CVID11	
OMIM:615763	CORTICAL DYSPLASIA COMPLEX WITH OTHER BRAIN MALFORMATIONS 5|^|CDCBM5	
OMIM:615760	MICROCEPHALY PROGRESSIVE WITH SEIZURES AND CEREBRAL AND CEREBELLAR ATROPHY|^|MSCCA	
OMIM:615761	MENTAL RETARDATION AUTOSOMAL DOMINANT 23|^|MRD23	
OMIM:616263	NEUROLOGIC ENDOCRINE AND PANCREATIC DISEASE MULTISYSTEM INFANTILE ONSET|^|IMNEPD	
OMIM:616260	TENORIO SYNDROME|^|TNORS	OVERGROWTH MACROCEPHALY AND INTELLECTUAL DISABILITY SYNDROME
OMIM:612239	SCOLIOSIS ISOLATED SUSCEPTIBILITY TO 5|^|IS5	
OMIM:612238	SCOLIOSIS ISOLATED SUSCEPTIBILITY TO 4|^|IS4	
OMIM:604498	AMEGAKARYOCYTIC THROMBOCYTOPENIA CONGENITAL|^|CAMT	
OMIM:614614	DEAFNESS AUTOSOMAL DOMINANT 4B|^|DFNA4B	
OMIM:612237	CHONDROSARCOMA EXTRASKELETAL MYXOID	EMC
OMIM:616269	MENTAL RETARDATION AUTOSOMAL RECESSIVE 48|^|MRT48	
OMIM:612231	COLORECTAL CANCER SUSCEPTIBILITY TO 6|^|CRCS6	COLORECTAL CANCER SUSCEPTIBILITY TO ON CHROMOSOME 8q23
OMIM:612230	COLORECTAL CANCER SUSCEPTIBILITY TO 5|^|CRCS5	COLORECTAL CANCER SUSCEPTIBILITY TO ON CHROMOSOME 10
OMIM:612233	LEUKODYSTROPHY HYPOMYELINATING 4|^|HLD4	
OMIM:612232	COLORECTAL CANCER SUSCEPTIBILITY TO 7|^|CRCS7	COLORECTAL CANCER SUSCEPTIBILITY TO ON CHROMOSOME 11
OMIM:607453	DEAFNESS AUTOSOMAL DOMINANT 44|^|DFNA44	
OMIM:608864	OROFACIAL CLEFT 6 SUSCEPTIBILITY TO|^|OFC6	
OMIM:601042	DYSTONIA 9|^|DYT9	
OMIM:601518	PROSTATE CANCER HEREDITARY 1|^|HPC1	PRCA1
OMIM:614947	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 15|^|COXPD15	
OMIM:604273	MITOCHONDRIAL COMPLEX V ATP SYNTHASE DEFICIENCY NUCLEAR TYPE 1|^|MC5DN1	
OMIM:604271	GROWTH HORMONE INSENSITIVITY PARTIAL|^|GHIP	
OMIM:614120	HYDROLETHALUS SYNDROME 2|^|HLS2	
OMIM:604278	RENAL TUBULAR ACIDOSIS PROXIMAL WITH OCULAR ABNORMALITIES AND MENTAL RETARDATION	RTA PROXIMAL AUTOSOMAL RECESSIVE
OMIM:603918	HYPERTENSION ESSENTIAL SUSCEPTIBILITY TO 1	HYT1
OMIM:133239	ESOPHAGEAL CANCER	
OMIM:150800	HEREDITARY LEIOMYOMATOSIS AND RENAL CELL CANCER|^|HLRCC	MULTIPLE CUTANEOUS AND UTERINE LEIOMYOMATA 1 WITH OR WITHOUT RENAL CELL CARCINOMA|^|MCUL1|^|LRCC|^|LEIOMYOMA MULTIPLE CUTANEOUS|^|MCL
OMIM:610906	ASTHMA RELATED TRAITS SUSCEPTIBILITY TO 4	ASRT4|^|ASTHMA AND ALLERGIC RHINITIS SUSCEPTIBILITY TO
OMIM:610908	AUTISM SUSCEPTIBILITY TO 13|^|AUTS13	
OMIM:172870	PIGMENTED PARAVENOUS CHORIORETINAL ATROPHY|^|PPCRA	
OMIM:614747	URIC ACID CONCENTRATION SERUM QUANTITATIVE TRAIT LOCUS 6|^|UAQTL6	
OMIM:172700	PICK DISEASE OF BRAIN	LOBAR ATROPHY OF BRAIN|^|DEMENTIA WITH LOBAR ATROPHY AND NEURONAL CYTOPLASMIC INCLUSIONS
OMIM:613013	NEUROBLASTOMA SUSCEPTIBILITY TO 2|^|NBLST2	
OMIM:613011	LYMPHOPROLIFERATIVE SYNDROME 1|^|LPFS1	
OMIM:613016	NEUROBLASTOMA SUSCEPTIBILITY TO 5|^|NBLST5	
OMIM:613017	NEUROBLASTOMA SUSCEPTIBILITY TO 6|^|NBLST6	
OMIM:613014	NEUROBLASTOMA SUSCEPTIBILITY TO 3|^|NBLST3	
OMIM:613015	NEUROBLASTOMA SUSCEPTIBILITY TO 4|^|NBLST4	
OMIM:169545	PELVIC LIPOMATOSIS WITH CROSSED RENAL ECTOPIA	
OMIM:115800	CATARACT 29|^|CTRCT29	
OMIM:607671	DYSTONIA 13 TORSION AUTOSOMAL DOMINANT|^|DYT13	
OMIM:105550	FRONTOTEMPORAL DEMENTIA AND OR AMYOTROPHIC LATERAL SCLEROSIS 1|^|FTDALS1	
OMIM:108300	STICKLER SYNDROME TYPE I|^|STL1	
OMIM:607853	PANIC DISORDER 2	PAND2|^|PANIC DISORDER SUSCEPTIBILITY LOCUS CHROMOSOME 9q RELATED
OMIM:108650	SPASTIC ATAXIA 7 AUTOSOMAL DOMINANT|^|SPAX7	
OMIM:273300	TESTICULAR GERM CELL TUMOR|^|TGCT	MALE GERM CELL TUMOR|^|MGCT
OMIM:249620	OHDO SYNDROME	OHDO BLEPHAROPHIMOSIS SYNDROME|^|MENTAL RETARDATION CONGENITAL HEART DISEASE BLEPHAROPHIMOSIS BLEPHAROPTOSIS AND HYPOPLASTIC TEETH
OMIM:607850	OSTEOARTHRITIS SUSCEPTIBILITY 3|^|OS3	OSTEOARTHRITIS OF KNEE HIP
